"customer_number","customer_key","full_name","age","age_group","customer_segment","total_orders","total_products","total_quantity","total_sales","last_order_date","recency","lifespan","avg_order_value","avg_monthly_spending"
"AW00011000","1","Jon Yang","53","50+","VIP","3","8","8","8249","2013-05-03","10","27","2749","305.52"
"AW00011001","2","Eugene Huang","48","40-49","VIP","3","10","11","6384","2013-12-10","2","34","2128","187.76"
"AW00011002","3","Ruben Torres","54","50+","VIP","3","4","4","8114","2013-02-23","0","25","2704","324.56"
"AW00011003","4","Christy Zhu","51","50+","VIP","3","9","9","8139","2013-05-10","9","28","2713","290.68"
"AW00011004","5","Elizabeth Johnson","45","40-49","VIP","3","6","6","8196","2013-05-01","10","27","2732","303.56"
"AW00011005","6","Julio Ruiz","48","40-49","VIP","3","6","6","8121","2013-05-02","10","28","2707","290.04"
"AW00011006","7","Janet Alvarez","48","40-49","VIP","3","5","5","8119","2013-05-14","9","27","2706","300.70"
"AW00011007","8","Marco Mehta","55","50+","VIP","3","8","8","8211","2013-03-19","11","26","2737","315.81"
"AW00011008","9","Rob Verhoff","49","40-49","VIP","3","7","7","8106","2013-03-02","0","25","2702","324.24"
"AW00011009","10","Shannon Carlson","55","50+","VIP","3","5","5","8091","2013-05-09","9","27","2697","299.67"
"AW00011010","11","Jacquelyn Suarez","55","50+","VIP","3","4","4","8088","2013-05-23","9","28","2696","288.86"
"AW00011011","12","Curtis Lu","55","50+","VIP","3","4","4","8133","2013-03-19","11","26","2711","312.81"
"AW00011012","13","Lauren Walker","46","40-49","New","2","5","5","81","2013-10-15","4","6","40","13.50"
"AW00011013","14","Ian Jenkins","45","40-49","New","2","5","5","114","2014-01-21","1","9","57","12.67"
"AW00011014","15","Sydney Bennett","51","50+","New","2","5","6","138","2013-04-30","10","1","69","138.00"
"AW00011015","16","Chloe Young","40","40-49","New","1","3","3","2501","2013-01-18","1","0","2501","0.00"
"AW00011016","17","Wyatt Hill","40","40-49","New","1","3","3","2332","2013-02-09","0","0","2332","0.00"
"AW00011017","18","Shannon Wang","75","50+","VIP","3","4","4","6434","2013-10-14","4","33","2144","194.97"
"AW00011018","19","Clarence Rai","69","50+","VIP","3","7","7","6533","2013-10-24","4","33","2177","197.97"
"AW00011019","20","Luke Lal","41","40-49","New","17","20","33","880","2014-01-12","1","11","51","80.00"
"AW00011020","21","Jordan King","40","40-49","New","1","2","2","2317","2012-12-29","2","0","2317","0.00"
"AW00011021","22","Destiny Wilson","41","40-49","New","1","3","3","2372","2013-01-23","1","0","2372","0.00"
"AW00011022","23","Ethan Zhang","40","40-49","New","1","2","2","2322","2013-01-20","1","0","2322","0.00"
"AW00011023","24","Seth Edwards","40","40-49","New","2","6","6","122","2014-01-14","1","10","61","12.20"
"AW00011024","25","Russell Xie","40","40-49","New","2","5","6","56","2013-07-26","7","0","28","0.00"
"AW00011025","26","Alejandro Beck","73","50+","VIP","3","6","6","6577","2013-10-25","4","33","2192","199.30"
"AW00011026","27","Harold Sai","73","50+","VIP","3","7","7","6575","2013-10-15","4","32","2191","205.47"
"AW00011027","28","Jessie Zhao","72","50+","VIP","3","9","9","6591","2013-10-24","4","33","2197","199.73"
"AW00011028","29","Jill Jimenez","73","50+","VIP","3","5","5","6474","2013-10-07","5","32","2158","202.31"
"AW00011029","30","Jimmy Moreno","72","50+","VIP","3","7","7","6565","2013-11-11","3","33","2188","198.94"
"AW00011030","31","Bethany Yuan","67","50+","VIP","3","4","4","6471","2013-11-09","3","33","2157","196.09"
"AW00011031","32","Theresa Ramos","72","50+","VIP","3","6","6","6478","2013-11-13","3","33","2159","196.30"
"AW00011032","33","Denise Stone","72","50+","VIP","3","10","10","6525","2013-11-08","3","32","2175","203.91"
"AW00011033","34","Jaime Nath","66","50+","VIP","3","7","7","6495","2013-11-05","4","32","2165","202.97"
"AW00011034","35","Ebony Gonzalez","72","50+","VIP","3","4","4","6491","2013-11-10","3","33","2163","196.70"
"AW00011035","36","Wendy Dominguez","71","50+","VIP","3","5","5","6451","2013-11-15","3","33","2150","195.48"
"AW00011036","37","Jennifer Russell","40","40-49","New","1","2","2","2355","2013-01-22","1","0","2355","0.00"
"AW00011037","38","Chloe Garcia","41","40-49","New","1","7","7","2374","2013-01-20","1","0","2374","0.00"
"AW00011038","39","Diana Hernandez","71","50+","VIP","3","3","3","6437","2013-11-12","3","33","2145","195.06"
"AW00011039","40","Marc Martin","70","50+","VIP","3","8","9","6636","2013-11-11","3","33","2212","201.09"
"AW00011040","41","Jesse Murphy","42","40-49","New","1","3","3","2351","2013-04-03","11","0","2351","0.00"
"AW00011041","42","Amanda Carter","41","40-49","New","1","3","3","2381","2013-01-14","1","0","2381","0.00"
"AW00011042","43","Megan Sanchez","42","40-49","New","2","3","3","3112","2013-10-17","4","8","1556","389.00"
"AW00011043","44","Nathan Simmons","43","40-49","New","2","3","3","48","2013-08-18","6","3","24","16.00"
"AW00011044","45","Adam Flores","70","50+","VIP","3","7","7","6515","2013-11-08","3","32","2171","203.59"
"AW00011045","46","Leonard Nara","69","50+","New","2","4","4","115","2013-10-29","4","6","57","19.17"
"AW00011046","47","Christine Yuan","69","50+","VIP","3","6","6","6616","2013-11-12","3","33","2205","200.48"
"AW00011047","48","Jaclyn Lu","69","50+","VIP","3","4","4","6582","2013-11-19","3","33","2194","199.45"
"AW00011048","49","Jeremy Powell","68","50+","VIP","3","8","8","6498","2013-12-25","2","34","2166","191.12"
"AW00011049","50","Carol Rai","39","30-39","New","2","5","5","81","2013-10-29","4","7","40","11.57"
"AW00011050","51","Alan Zheng","68","50+","VIP","3","6","6","5007","2013-11-19","3","32","1669","156.47"
"AW00011051","52","Daniel Johnson","68","50+","New","2","5","5","124","2014-01-01","2","0","62","0.00"
"AW00011052","53","Heidi Lopez","68","50+","VIP","3","7","7","8131","2013-05-27","9","27","2710","301.15"
"AW00011053","54","Ana Price","39","30-39","New","1","2","2","2330","2013-01-17","1","0","2330","0.00"
"AW00011054","55","Deanna Munoz","67","50+","VIP","3","6","6","8223","2013-05-30","9","27","2741","304.56"
"AW00011055","56","Gilbert Raje","67","50+","VIP","3","8","8","8168","2013-06-07","9","28","2722","291.71"
"AW00011056","57","Michele Nath","66","50+","VIP","3","8","8","8207","2013-05-31","9","27","2735","303.96"
"AW00011057","58","Carl Andersen","54","50+","VIP","3","4","4","8088","2013-05-21","9","26","2696","311.08"
"AW00011058","59","Marc Diaz","59","50+","VIP","3","6","6","8248","2013-06-04","9","26","2749","317.23"
"AW00011059","60","Ashlee Andersen","65","50+","New","3","6","7","117","2013-03-16","11","0","39","0.00"
"AW00011060","61","Jon Zhou","65","50+","VIP","3","6","6","8153","2013-06-25","8","27","2717","301.96"
"AW00011061","62","Todd Gao","49","40-49","VIP","3","6","6","8129","2013-06-14","8","27","2709","301.07"
"AW00011062","63","Noah Powell","44","40-49","New","1","3","3","2352","2013-01-07","2","0","2352","0.00"
"AW00011063","64","Angela Murphy","44","40-49","New","1","5","5","2373","2013-01-12","1","0","2373","0.00"
"AW00011064","65","Chase Reed","43","40-49","New","1","2","2","2305","2013-01-25","1","0","2305","0.00"
"AW00011065","66","Jessica Henderson","45","40-49","New","2","4","5","202","2014-01-10","1","11","101","18.36"
"AW00011066","67","Grace Butler","45","40-49","New","2","5","5","81","2013-09-19","5","3","40","27.00"
"AW00011067","68","Caleb Carter","42","40-49","New","2","6","6","105","2014-01-12","1","4","52","26.25"
"AW00011068","69","Tiffany Liang","58","50+","New","3","8","9","113","2013-10-08","4","5","37","22.60"
"AW00011069","70","Carolyn Navarro","58","50+","VIP","3","3","3","8104","2013-06-04","9","25","2701","324.16"
"AW00011070","71","Willie Raji","64","50+","VIP","3","9","10","8165","2013-06-26","8","25","2721","326.60"
"AW00011071","72","Linda Serrano","64","50+","New","3","6","7","110","2013-12-01","3","9","36","12.22"
"AW00011072","73","Casey Luo","64","50+","VIP","3","7","7","8194","2013-06-15","8","26","2731","315.15"
"AW00011073","74","Amy Ye","63","50+","New","3","9","10","192","2013-08-21","6","4","64","48.00"
"AW00011074","75","Levi Arun","63","50+","New","3","7","7","94","2013-05-27","9","2","31","47.00"
"AW00011075","76","Felicia Jimenez","61","50+","VIP","3","5","5","8068","2013-06-24","8","25","2689","322.72"
"AW00011076","77","Blake Anderson","62","50+","VIP","3","4","4","8159","2013-06-21","8","26","2719","313.81"
"AW00011077","78","Leah Ye","61","50+","VIP","3","5","5","8169","2013-06-12","8","25","2723","326.76"
"AW00011078","79","Gina Martin","40","40-49","New","17","23","31","912","2014-01-28","1","11","53","82.91"
"AW00011079","80","Donald Gonzalez","55","50+","New","3","5","5","58","2014-01-01","2","9","19","6.44"
"AW00011080","81","Damien Chander","60","50+","VIP","3","7","7","8204","2013-06-23","8","26","2734","315.54"
"AW00011081","82","Savannah Baker","53","50+","New","2","5","5","104","2013-04-13","10","2","52","52.00"
"AW00011082","83","Angela Butler","53","50+","New","2","6","6","3110","2013-11-06","4","9","1555","345.56"
"AW00011083","84","Alyssa Cox","47","40-49","New","2","5","5","3137","2013-11-08","3","10","1568","313.70"
"AW00011084","85","Lucas Phillips","61","50+","New","2","5","5","3078","2013-11-21","3","10","1539","307.80"
"AW00011085","86","Emily Johnson","62","50+","New","2","5","5","129","2014-01-08","1","1","64","129.00"
"AW00011086","87","Ryan Brown","61","50+","New","2","6","6","153","2013-12-21","2","5","76","30.60"
"AW00011087","88","Tamara Liang","61","50+","New","2","4","4","200","2013-08-09","6","5","100","40.00"
"AW00011088","89","Hunter Davis","61","50+","New","2","7","7","3176","2013-11-12","3","9","1588","352.89"
"AW00011089","90","Abigail Price","62","50+","New","2","7","7","3188","2013-11-18","3","10","1594","318.80"
"AW00011090","91","Trevor Bryant","56","50+","VIP","3","6","6","6703","2013-11-21","3","27","2234","248.26"
"AW00011091","92","Dalton Perez","62","50+","New","28","25","59","1186","2014-01-08","1","11","42","107.82"
"AW00011092","93","Cheryl Diaz","52","50+","VIP","3","5","5","8110","2013-06-21","8","26","2703","311.92"
"AW00011093","94","Aimee He","46","40-49","VIP","3","7","7","8180","2013-06-08","8","26","2726","314.62"
"AW00011094","95","Cedric Ma","57","50+","New","3","8","8","236","2014-01-11","1","9","78","26.22"
"AW00011095","96","Chad Kumar","57","50+","VIP","3","7","7","8158","2013-06-25","8","26","2719","313.77"
"AW00011096","97","Andrés Anand","57","50+","VIP","3","4","4","8063","2013-07-30","7","27","2687","298.63"
"AW00011097","98","Edwin Nara","52","50+","VIP","3","5","5","8099","2013-07-24","7","27","2699","299.96"
"AW00011098","99","Mallory Rubio","58","50+","New","3","4","4","89","2013-10-16","4","8","29","11.13"
"AW00011099","100","Adam Ross","58","50+","VIP","3","8","9","8216","2013-07-01","8","26","2738","316.00"
"AW00011100","101","Latasha Navarro","58","50+","VIP","3","7","7","8172","2013-08-07","7","27","2724","302.67"
"AW00011101","102","Abby Sai","54","50+","VIP","3","7","7","8262","2013-06-29","8","26","2754","317.77"
"AW00011102","103","Julia Nelson","54","50+","New","3","5","5","103","2013-12-09","2","4","34","25.75"
"AW00011103","104","Cassie Chande","43","40-49","VIP","3","8","8","8182","2013-06-06","9","25","2727","327.28"
"AW00011104","105","Edgar Sara","49","40-49","VIP","3","6","6","8173","2013-06-15","8","25","2724","326.92"
"AW00011105","106","Candace Fernandez","54","50+","VIP","3","5","5","8096","2013-06-05","9","24","2698","337.33"
"AW00011106","107","Jessie Liu","54","50+","VIP","3","3","3","8079","2013-06-15","8","24","2693","336.63"
"AW00011107","108","Bianca Lin","49","40-49","VIP","3","6","6","8171","2013-06-21","8","25","2723","326.84"
"AW00011108","109","Kari Alvarez","56","50+","VIP","3","5","5","8124","2013-06-23","8","25","2708","324.96"
"AW00011109","110","Ruben Kapoor","44","40-49","VIP","3","8","8","8245","2013-06-24","8","25","2748","329.80"
"AW00011110","111","Curtis Yang","57","50+","VIP","3","5","5","8093","2013-08-20","6","27","2697","299.74"
"AW00011111","112","Meredith Gutierrez","57","50+","VIP","3","8","8","8137","2013-08-22","6","27","2712","301.37"
"AW00011112","113","Crystal Wang","56","50+","VIP","3","6","6","8295","2013-09-02","6","27","2765","307.22"
"AW00011113","114","Micheal Blanco","52","50+","New","3","7","7","110","2013-04-21","10","2","36","55.00"
"AW00011114","115","Leslie Moreno","57","50+","New","3","6","7","123","2013-12-26","2","9","41","13.67"
"AW00011115","116","Alvin Cai","57","50+","New","3","6","6","114","2014-01-02","2","10","38","11.40"
"AW00011116","117","Clinton Carlson","45","40-49","New","3","7","7","149","2013-10-16","4","7","49","21.29"
"AW00011117","118","April Deng","58","50+","VIP","3","8","8","8185","2013-06-25","8","25","2728","327.40"
"AW00011118","119","Alvin Zeng","62","50+","New","3","6","8","124","2014-01-26","1","6","41","20.67"
"AW00011119","120","Evan James","84","50+","New","2","4","4","85","2013-11-23","3","9","42","9.44"
"AW00011120","121","Beth Jiménez","83","50+","VIP","3","10","10","8242","2013-09-19","5","28","2747","294.36"
"AW00011121","122","Orlando Suarez","58","50+","New","3","5","6","58","2013-11-04","4","4","19","14.50"
"AW00011122","123","Byron Vazquez","59","50+","New","3","3","3","43","2013-08-22","6","6","14","7.17"
"AW00011123","124","Philip Alvarez","59","50+","New","3","7","8","150","2014-01-25","1","9","50","16.67"
"AW00011124","125","Ross Jordan","56","50+","VIP","3","6","6","8129","2013-06-18","8","25","2709","325.16"
"AW00011125","126","Dana Navarro","63","50+","New","3","7","7","79","2013-07-03","8","5","26","15.80"
"AW00011126","127","Shaun Carson","70","50+","Regular","3","7","8","4971","2013-11-03","4","29","1657","171.41"
"AW00011127","128","Jan Edwards","43","40-49","New","2","3","3","44","2013-10-01","5","5","22","8.80"
"AW00011128","129","Samantha Long","43","40-49","New","2","7","7","144","2013-08-12","6","1","72","144.00"
"AW00011129","130","Julia Wright","44","40-49","VIP","2","2","2","5873","2013-01-09","1","17","2936","345.47"
"AW00011130","131","Caroline Russell","39","30-39","New","1","2","2","37","2013-12-09","2","0","37","0.00"
"AW00011131","132","Amanda Rivera","39","30-39","New","5","9","9","166","2014-01-23","1","3","33","55.33"
"AW00011132","133","Melissa Richardson","38","30-39","New","1","6","6","2372","2013-04-09","10","0","2372","0.00"
"AW00011133","134","Angela Griffin","38","30-39","New","1","4","4","72","2013-12-30","2","0","72","0.00"
"AW00011134","135","Larry Townsend","68","50+","Regular","3","3","3","4911","2013-11-03","4","30","1637","163.70"
"AW00011135","136","Marcus Harris","39","30-39","New","1","3","3","2335","2013-04-18","10","0","2335","0.00"
"AW00011136","137","Brianna Morgan","40","40-49","New","1","3","3","2381","2013-01-03","2","0","2381","0.00"
"AW00011137","138","Jasmine Taylor","41","40-49","New","2","4","5","202","2014-01-20","1","5","101","40.40"
"AW00011138","139","Lauren Davis","40","40-49","New","2","4","4","79","2013-12-31","2","3","39","26.33"
"AW00011139","140","Tanya Moreno","75","50+","New","2","3","3","84","2013-10-17","4","1","42","84.00"
"AW00011140","141","Javier Alvarez","42","40-49","New","1","2","2","40","2013-03-19","11","0","40","0.00"
"AW00011141","142","Nicole Ramirez","42","40-49","New","2","5","5","114","2013-09-28","5","4","57","28.50"
"AW00011142","143","Eduardo Patterson","42","40-49","New","17","23","36","979","2014-01-13","1","11","57","89.00"
"AW00011143","144","Jonathan Henderson","42","40-49","New","2","4","5","48","2013-12-19","2","6","24","8.00"
"AW00011144","145","Edward Hernandez","39","30-39","New","1","3","3","2400","2013-01-25","1","0","2400","0.00"
"AW00011145","146","Jasmine Coleman","39","30-39","New","1","3","3","2310","2013-01-25","1","0","2310","0.00"
"AW00011146","147","Karla Goel","80","50+","New","3","6","7","113","2013-09-15","5","7","37","16.14"
"AW00011147","148","Ernest Wu","80","50+","VIP","3","7","7","8195","2013-10-16","4","29","2731","282.59"
"AW00011148","149","Ross Vazquez","78","50+","New","3","5","6","126","2013-12-03","3","8","42","15.75"
"AW00011149","150","Theodore Gill","78","50+","New","3","4","4","41","2013-11-29","3","5","13","8.20"
"AW00011150","151","Russell Shen","78","50+","New","3","7","8","192","2013-07-15","7","3","64","64.00"
"AW00011151","152","Melinda Gill","77","50+","VIP","3","6","6","8087","2013-10-20","4","29","2695","278.86"
"AW00011152","153","James Williams","43","40-49","New","1","1","1","2295","2013-01-09","1","0","2295","0.00"
"AW00011153","154","Angela James","43","40-49","New","2","5","5","110","2013-03-29","11","0","55","0.00"
"AW00011154","155","Megan Walker","43","40-49","New","1","1","1","2320","2013-01-10","1","0","2320","0.00"
"AW00011155","156","Hunter Robinson","43","40-49","New","1","1","1","2320","2013-01-06","2","0","2320","0.00"
"AW00011156","157","Maria Roberts","43","40-49","New","1","4","4","2390","2013-01-08","1","0","2390","0.00"
"AW00011157","158","Hannah Long","44","40-49","New","2","3","3","41","2013-09-11","5","1","20","41.00"
"AW00011158","159","Jason Wright","43","40-49","New","1","3","3","2396","2013-01-19","1","0","2396","0.00"
"AW00011159","160","Brianna Hughes","43","40-49","New","2","4","5","48","2013-11-07","4","1","24","48.00"
"AW00011160","161","Maurice Tang","45","40-49","New","1","2","2","2322","2013-02-21","0","0","2322","0.00"
"AW00011161","162","Emily Wood","45","40-49","New","2","6","6","94","2013-11-11","3","5","47","18.80"
"AW00011162","163","Chase Cox","45","40-49","New","1","2","2","2330","2013-02-18","0","0","2330","0.00"
"AW00011163","164","Gabriel Wang","44","40-49","New","2","4","4","46","2013-08-05","7","3","23","15.33"
"AW00011164","165","Devin Brooks","45","40-49","New","2","6","6","145","2013-08-05","7","3","72","48.33"
"AW00011165","166","Jocelyn Alexander","46","40-49","New","2","3","3","103","2013-06-05","9","0","51","0.00"
"AW00011166","167","Ashley Martinez","47","40-49","New","2","5","5","88","2013-12-06","3","1","44","88.00"
"AW00011167","168","Jasmine Barnes","47","40-49","New","2","4","4","3126","2013-11-28","3","10","1563","312.60"
"AW00011168","169","David Rodriguez","51","50+","New","2","7","7","3136","2013-11-16","3","10","1568","313.60"
"AW00011169","170","Bryce Richardson","51","50+","New","2","5","5","81","2013-09-24","5","3","40","27.00"
"AW00011170","171","Carol Howard","51","50+","New","2","7","7","157","2013-12-29","2","4","78","39.25"
"AW00011171","172","Jonathan Hill","46","40-49","VIP","3","8","8","6716","2013-11-07","4","26","2238","258.31"
"AW00011172","173","Gabrielle Adams","51","50+","New","2","6","7","129","2014-01-11","1","8","64","16.13"
"AW00011173","174","Sarah Thomas","52","50+","New","2","3","3","103","2013-12-24","2","9","51","11.44"
"AW00011174","175","Nicholas Robinson","52","50+","New","2","4","5","48","2013-07-25","7","0","24","0.00"
"AW00011175","176","Luis Wang","56","50+","VIP","3","8","8","6710","2013-11-03","4","26","2236","258.08"
"AW00011176","177","Mason Roberts","46","40-49","New","28","27","60","1317","2014-01-27","1","11","47","119.73"
"AW00011177","178","Jose Flores","77","50+","New","2","6","6","135","2013-10-14","4","6","67","22.50"
"AW00011178","179","Nathan Johnson","70","50+","New","2","6","6","145","2013-05-26","9","3","72","48.33"
"AW00011179","180","Molly Rodriguez","65","50+","New","2","6","6","125","2014-01-09","1","9","62","13.89"
"AW00011180","181","April Anand","76","50+","New","2","6","6","138","2013-09-25","5","6","69","23.00"
"AW00011181","182","Devin Martin","65","50+","New","2","3","3","41","2013-07-11","7","2","20","20.50"
"AW00011182","183","Stephanie Torres","75","50+","New","2","5","5","81","2014-01-05","2","4","40","20.25"
"AW00011183","184","Jasmine Lee","75","50+","New","2","4","4","46","2013-06-13","8","1","23","46.00"
"AW00011184","185","Meghan Hernandez","69","50+","New","2","5","5","68","2013-10-09","4","1","34","68.00"
"AW00011185","186","Ashley Henderson","74","50+","New","27","29","68","1616","2014-01-26","1","11","59","146.91"
"AW00011186","187","Sarah Price","75","50+","New","2","3","3","41","2014-01-07","2","2","20","20.50"
"AW00011187","188","Jennifer Cooper","75","50+","New","2","4","4","108","2013-08-06","7","4","54","27.00"
"AW00011188","189","Catherine Morris","75","50+","New","2","5","5","81","2014-01-21","1","2","40","40.50"
"AW00011189","190","Lawrence Blanco","75","50+","VIP","2","6","6","5944","2013-02-05","1","17","2972","349.65"
"AW00011190","191","Carson Bryant","75","50+","New","2","4","4","46","2014-01-16","1","4","23","11.50"
"AW00011191","192","Kristi Perez","73","50+","VIP","3","7","7","6743","2013-11-06","4","26","2247","259.35"
"AW00011192","193","James Brown","73","50+","New","2","5","5","114","2013-09-25","5","3","57","38.00"
"AW00011193","194","Ian Gray","74","50+","New","2","3","3","41","2013-08-18","6","5","20","8.20"
"AW00011194","195","Jacqueline Price","74","50+","New","2","6","6","105","2013-12-08","2","8","52","13.13"
"AW00011195","196","Megan Henderson","73","50+","New","2","6","6","105","2013-10-22","4","6","52","17.50"
"AW00011196","197","Alfredo Romero","73","50+","New","2","4","4","162","2013-09-24","5","6","81","27.00"
"AW00011197","198","Andrea Morris","73","50+","New","2","5","6","207","2013-07-20","7","2","103","103.50"
